"Date","Android","iOS"
2020-01,100,0
2020-02,100,0
2020-03,87.5,12.5
2020-04,100,0
2020-07,73.68,26.32
2020-09,33.33,66.67
2020-11,66.67,33.33
2020-12,50,50
2020-05,0,0
2020-06,0,0
2020-08,0,0
2020-10,0,0
