"Date","Android","iOS","Samsung","Windows","Other"
2020-01,70.53,29.36,0.06,0.03,0.02
2020-02,68.85,30.99,0.06,0.09,0.01
2020-03,70.1,29.83,0.06,0.01,0
2020-04,70.95,28.96,0.05,0.01,0.04
2020-05,71.11,28.82,0.05,0.01,0.01
2020-06,73.87,25.99,0.1,0.03,0.02
2020-07,74.44,25.27,0.25,0,0.03
2020-08,73.53,26.3,0.15,0.02,0.01
2020-09,69.66,30.19,0.14,0,0.01
2020-10,71.26,28.6,0.12,0.01,0.01
2020-11,73.81,26.11,0.06,0,0.01
2020-12,70.46,29.4,0.12,0,0.02
