"Date","Android","iOS","Samsung","Unknown","Other"
2020-01,71.96,27.94,0.05,0.02,0.02
2020-02,67.08,32.84,0.03,0.03,0.02
2020-03,64.46,35.47,0.04,0.01,0.02
2020-04,62.97,36.94,0.04,0.03,0.02
2020-05,61.55,38.34,0.06,0.03,0.02
2020-06,60.84,39.03,0.09,0.02,0.02
2020-07,59.14,40.73,0.09,0.02,0.02
2020-08,59.34,40.52,0.08,0.04,0.01
2020-09,59.72,40.15,0.1,0.02,0.01
2020-10,59.1,40.73,0.13,0.02,0.02
2020-11,56.95,42.92,0.09,0.02,0.02
2020-12,54.74,45.1,0.13,0.02,0.02
