"OS","Market Share Perc. (Jan - Dec 2020)"
"Android",85.93
"iOS",11.7
"Unknown",1.54
"Series 40",0.17
"Linux",0.14
"Windows",0.12
"Tizen",0.1
"Samsung",0.09
"Nokia Unknown",0.09
"BlackBerry OS",0.05
"SymbianOS",0.03
"KaiOS",0.02
"Other",0.02
