"Date","Android","iOS","Samsung","Unknown","Other"
2020-01,81.83,17.56,0.51,0.02,0.08
2020-02,80.02,19.38,0.51,0.03,0.06
2020-03,79.7,19.52,0.74,0.03,0.02
2020-04,79.21,19.85,0.89,0.03,0.03
2020-05,78.65,20.24,1.05,0.03,0.02
2020-06,78.51,20.41,1.03,0.03,0.02
2020-07,77.83,21.1,1.02,0.03,0.02
2020-08,77.88,20.92,1.15,0.03,0.02
2020-09,78.46,20.4,1.1,0.03,0.02
2020-10,76.3,22.59,1.08,0.02,0.02
2020-11,75.53,23.13,1.3,0.02,0.02
2020-12,77.82,21.02,1.13,0.02,0.02
