"Date","Android","iOS","Samsung","Other"
2020-01,69.88,30.12,0,0
2020-02,57.36,42.64,0,0
2020-03,47.98,52.02,0,0
2020-04,58.14,41.86,0,0
2020-05,46.8,53.2,0,0
2020-06,64.06,35.94,0,0
2020-07,48.77,51.23,0,0
2020-08,54.99,45.01,0,0
2020-09,59.73,40.17,0.08,0.02
2020-10,49.41,50.56,0.03,0
2020-11,42.37,57.57,0.05,0
2020-12,39.5,60.4,0.08,0.03
