"Date","Android","iOS"
2020-01,96.57,3.43
2020-02,88.46,11.54
2020-03,96.41,3.59
2020-04,93.06,6.94
2020-05,69.23,30.77
2020-06,100,0
2020-07,100,0
2020-08,100,0
2020-09,100,0
2020-10,0,100
2020-11,100,0
2020-12,76.47,23.53
