"Date","Android","iOS","Samsung","Windows","Other"
2020-01,67.73,31.57,0.58,0.08,0.05
2020-02,67.41,31.98,0.52,0.06,0.03
2020-03,68.07,31.09,0.72,0.09,0.03
2020-04,68.45,31,0.47,0.05,0.03
2020-05,68.85,30.6,0.49,0.02,0.04
2020-06,70.76,28.67,0.52,0.02,0.03
2020-07,70.75,28.63,0.56,0.02,0.04
2020-08,70.34,28.96,0.63,0.03,0.04
2020-09,69.4,30.03,0.52,0.02,0.04
2020-10,63.64,35.85,0.47,0.02,0.02
2020-11,63.25,36.15,0.56,0.02,0.02
2020-12,63.17,36.3,0.48,0.01,0.03
