"Date","Android","iOS"
2020-01,89.71,10.29
2020-02,92.86,7.14
2020-03,97.56,2.44
2020-04,93.33,6.67
2020-05,96.7,3.3
2020-06,94.34,5.66
2020-07,87.93,12.07
2020-08,76.32,23.68
2020-09,100,0
2020-10,100,0
2020-11,98.8,1.2
2020-12,97.37,2.63
