"Date","Android","iOS","Windows","Samsung","Other"
2020-01,84.74,14.87,0.31,0.03,0.06
2020-02,85.96,13.65,0.32,0.02,0.05
2020-03,86.88,12.85,0.2,0.04,0.04
2020-04,85.41,14.39,0.14,0.03,0.04
2020-05,84.17,15.65,0.11,0.04,0.04
2020-06,85.39,14.46,0.07,0.05,0.03
2020-07,86.43,13.48,0.02,0.04,0.03
2020-08,86.5,13.39,0.03,0.04,0.04
2020-09,85.29,14.6,0.03,0.05,0.03
2020-10,82.33,17.56,0.02,0.06,0.03
2020-11,84.98,14.87,0.03,0.09,0.03
2020-12,85.51,14.36,0.02,0.08,0.03
