"Date","Android","iOS","Samsung","Windows","Other"
2020-01,68.7,31.16,0.05,0.04,0.04
2020-02,68.53,31.37,0.04,0.03,0.03
2020-03,67.58,32.31,0.07,0.02,0.02
2020-04,67.75,32.08,0.13,0.02,0.01
2020-05,69.19,30.74,0.07,0,0
2020-06,68.61,31.31,0.07,0,0
2020-07,70.83,29.08,0.08,0,0.01
2020-08,71.52,28.35,0.12,0,0
2020-09,69.45,30.46,0.09,0,0.01
2020-10,68.65,31.26,0.09,0,0.01
2020-11,69.19,30.64,0.15,0.01,0.01
2020-12,66.4,33.39,0.19,0.01,0.01
