"Date","iOS","Android","Samsung","Windows","Other"
2020-01,58.37,41.4,0.06,0.15,0.02
2020-02,58.53,41.21,0.07,0.18,0.01
2020-03,58.7,41.04,0.07,0.18,0
2020-04,59.65,40.23,0.06,0.06,0
2020-05,60.1,39.8,0.07,0.02,0.01
2020-06,58.54,41.32,0.1,0.03,0.01
2020-07,59.56,40.29,0.1,0.05,0.01
2020-08,61.78,38.05,0.14,0.02,0
2020-09,60.09,39.78,0.1,0.02,0.01
2020-10,60.19,39.68,0.1,0.03,0
2020-11,60.06,39.83,0.09,0.03,0
2020-12,59.46,40.42,0.08,0.03,0
