"Date","Android","iOS","Samsung","Unknown","Other"
2020-01,72.02,27.85,0.11,0,0.01
2020-02,70.81,29.06,0.12,0,0
2020-03,73.58,26.2,0.17,0.04,0
2020-04,76.05,23.72,0.18,0.04,0.01
2020-05,75.64,24.12,0.22,0.01,0.01
2020-06,75.79,23.89,0.3,0.01,0
2020-07,73.9,25.86,0.21,0.02,0.01
2020-08,74.6,25.12,0.26,0.01,0.02
2020-09,75.74,23.94,0.31,0,0
2020-10,74.61,24.92,0.46,0,0
2020-11,72.56,27.07,0.35,0.02,0.01
2020-12,70.64,28.93,0.42,0,0.01
