"Date","Android","iOS","Samsung"
2020-01,68.62,31.38,0
2020-02,49.04,50.92,0.04
2020-03,49.64,50.32,0.03
2020-04,50.47,49.53,0
2020-05,88.7,11.3,0
2020-06,82.03,17.97,0
2020-07,85.87,14.13,0
2020-08,84.4,15.6,0
2020-09,81.93,18.07,0
2020-10,71.17,28.83,0
2020-11,78.14,20.73,1.13
2020-12,56.36,43.64,0
