"Date","iOS","Android","Samsung","Windows","Other"
2020-01,46.75,53.09,0.14,0.02,0
2020-02,46.84,52.74,0.35,0.04,0.02
2020-03,46.98,52.78,0.21,0.02,0
2020-04,54.88,45,0.12,0.01,0
2020-05,53.53,46.14,0.32,0.01,0
2020-06,50,49.81,0.17,0,0.02
2020-07,48.49,51.43,0.06,0.01,0.01
2020-08,48.34,51.58,0.06,0.02,0
2020-09,44.54,55.35,0.1,0.01,0
2020-10,54.6,44.62,0.77,0,0
2020-11,52.33,47.06,0.58,0.01,0.02
2020-12,52.97,46.18,0.84,0,0
