"Date","iOS","Android"
2020-01,62.24,37.76
2020-02,48.84,51.16
2020-03,19.4,80.6
2020-04,32.91,67.09
2020-05,55,45
2020-06,48.84,51.16
2020-07,60.42,39.58
2020-08,49.17,50.83
2020-09,67.27,32.73
2020-10,94.06,5.94
2020-11,47.73,52.27
2020-12,82.35,17.65
