"Date","Android","iOS"
2020-01,52.1,47.9
2020-02,100,0
2020-03,100,0
2020-04,85.33,14.67
2020-06,100,0
2020-09,0,100
2020-10,0,100
2020-11,0,100
2020-05,0,0
2020-07,0,0
2020-08,0,0
2020-12,0,0
