"Date","Android","iOS","Samsung","Windows","Other"
2020-01,53.27,46.61,0.07,0.03,0.03
2020-02,54.09,45.77,0.06,0.01,0.07
2020-03,54.38,45.52,0.07,0.01,0.02
2020-04,54.07,45.82,0.06,0.01,0.04
2020-05,52.94,46.9,0.1,0.01,0.04
2020-06,58.35,41.53,0.1,0.01,0.01
2020-07,55.64,44.25,0.09,0.01,0.01
2020-08,56.84,43.03,0.1,0.02,0.01
2020-09,56.61,43.28,0.09,0.01,0.02
2020-10,45.19,54.71,0.08,0.01,0.01
2020-11,44.79,54.96,0.23,0.01,0.01
2020-12,44.47,55.24,0.26,0.02,0.01
