"Date","Android","iOS","Samsung","Windows","Other"
2020-01,73.83,25.94,0.15,0.06,0.02
2020-02,74.64,25.09,0.15,0.1,0.02
2020-03,74.77,24.82,0.33,0.06,0.02
2020-04,74.22,25.49,0.23,0.04,0.02
2020-05,74.17,25.56,0.25,0.02,0.01
2020-06,75.52,24.26,0.2,0.01,0.01
2020-07,74.72,24.84,0.4,0.02,0.02
2020-08,77.3,22.31,0.34,0.03,0.02
2020-09,73.55,25.89,0.47,0.08,0.02
2020-10,68.01,31.65,0.32,0,0.02
2020-11,69.24,30.25,0.48,0.02,0.01
2020-12,70.87,28.7,0.4,0.01,0.01
