"Date","Android","iOS"
2020-01,100,0
2020-02,100,0
2020-03,100,0
2020-04,100,0
2020-05,100,0
2020-06,100,0
2020-08,100,0
2020-09,100,0
2020-11,100,0
2020-12,80,20
2020-07,0,0
2020-10,0,0
