"Date","Android","iOS","Samsung","Other"
2020-01,63.6,36.21,0.17,0.03
2020-02,72.28,27.65,0.07,0
2020-03,69.98,29.72,0.28,0.02
2020-04,69.4,30.23,0.37,0
2020-05,66.16,33.49,0.35,0.01
2020-06,73.95,25.7,0.32,0.03
2020-07,72.5,26.92,0.57,0.01
2020-08,67.81,31.97,0.18,0.04
2020-09,63.4,36,0.59,0
2020-10,64.06,35.72,0.21,0.01
2020-11,65.69,34.04,0.21,0.06
2020-12,62.55,37.19,0.27,0
