"Date","Android","iOS","Samsung","Unknown","Windows","Other"
2020-01,66.08,33.64,0.16,0,0.12,0
2020-02,66.47,33.46,0.01,0,0.07,0
2020-03,69.81,30.14,0.03,0,0.02,0
2020-04,67.09,31.98,0.46,0.41,0.06,0
2020-05,58.6,41.4,0,0,0,0
2020-06,62.06,37.75,0,0,0.18,0
2020-07,55.01,44.99,0,0,0,0
2020-08,72.68,27.32,0,0,0,0
2020-09,66.93,33.07,0,0,0,0
2020-10,53.99,45.99,0.02,0,0.01,0
2020-11,59.27,40.66,0.01,0,0.03,0.03
2020-12,58.46,41.53,0.01,0,0,0
