"Date","Android","iOS","Samsung","Windows","BlackBerry OS","Other"
2020-01,80.49,18,1.34,0.11,0.06,0.01
2020-02,78.9,19.95,1.12,0.03,0,0
2020-03,78.38,21.27,0.31,0.02,0,0.02
2020-04,77.55,20.98,1.44,0.03,0,0
2020-05,67.9,32.1,0,0,0,0
2020-06,64.72,30.28,0,1.39,3.61,0
2020-07,60.39,38.25,0,1.2,0.15,0
2020-08,63.57,36.43,0,0,0,0
2020-09,92,8,0,0,0,0
2020-10,60,39.17,0,0.83,0,0
2020-11,51.02,48.98,0,0,0,0
2020-12,87.5,11.67,0.83,0,0,0
