"Date","iOS","Android","Samsung","Windows","Other"
2020-01,53.18,46.6,0.14,0.06,0.02
2020-02,52.3,47.5,0.13,0.06,0.01
2020-03,52.51,47.28,0.16,0.04,0.01
2020-04,53.16,46.72,0.09,0.02,0.01
2020-05,53.56,46.32,0.1,0.01,0.01
2020-06,52.27,47.57,0.13,0.03,0.01
2020-07,52.84,46.95,0.17,0.02,0.02
2020-08,51.35,48.41,0.19,0.03,0.02
2020-09,52.13,47.67,0.16,0.03,0.01
2020-10,62.72,37.16,0.1,0.01,0.01
2020-11,61.93,37.87,0.16,0.02,0.01
2020-12,62.3,37.54,0.13,0.02,0.01
