"Date","Android","iOS","Samsung","Windows","Other"
2020-01,75.98,23.93,0.06,0.01,0.01
2020-02,76.97,22.9,0.07,0.05,0.02
2020-03,77.78,22.1,0.06,0.04,0.03
2020-04,77.06,22.84,0.06,0.01,0.03
2020-05,76.75,23.15,0.07,0,0.03
2020-06,76.52,23.38,0.08,0,0.01
2020-07,75.67,24.22,0.1,0,0.01
2020-08,75.08,24.82,0.08,0.01,0.01
2020-09,75.55,24.35,0.09,0,0.01
2020-10,75.38,24.5,0.11,0,0.01
2020-11,74.16,25.67,0.14,0.02,0.01
2020-12,73.94,25.89,0.15,0.01,0.02
