"Date","iOS","Android","Samsung","Windows","Other"
2020-01,48.76,50.57,0.4,0.25,0.02
2020-02,51.77,47.87,0.31,0.04,0.01
2020-03,51.89,47.44,0.65,0.01,0.02
2020-04,49.93,49.52,0.51,0,0.03
2020-05,53.93,45.63,0.42,0,0.01
2020-06,47.45,52.34,0.18,0.01,0.02
2020-07,51.53,48.28,0.19,0,0
2020-08,48.85,50.95,0.17,0.02,0
2020-09,54.32,45.39,0.19,0,0.11
2020-10,53.12,46.67,0.19,0.02,0
2020-11,50.03,49.6,0.31,0.03,0.03
2020-12,55.82,44.04,0.14,0,0.01
