"Date","Android","iOS","Samsung","Unknown","Other"
2020-01,54.47,45.07,0.44,0.02,0.01
2020-02,51.79,47.74,0.43,0.02,0.03
2020-03,51.8,47.63,0.51,0.02,0.04
2020-04,52.45,46.94,0.57,0.02,0.01
2020-05,53.24,46.11,0.62,0.02,0.01
2020-06,53.86,45.51,0.6,0.02,0.01
2020-07,53.79,45.47,0.7,0.02,0.01
2020-08,52.19,47.01,0.77,0.02,0.01
2020-09,53.1,46.06,0.82,0.02,0
2020-10,53.63,45.54,0.81,0.02,0
2020-11,52.4,46.8,0.78,0.01,0
2020-12,52.29,46.95,0.75,0.01,0
