"Date","Android","iOS","Windows","Samsung","Other"
2020-01,91.89,8.09,0.01,0,0.01
2020-02,92.51,7.42,0.04,0,0.03
2020-03,91.32,8.59,0.07,0.01,0.01
2020-04,91.13,8.81,0.03,0.02,0.01
2020-05,90.58,9.29,0.1,0.02,0.01
2020-06,92.7,7.27,0,0.01,0.01
2020-07,91.28,8.71,0,0,0.01
2020-08,92.42,7.47,0.1,0.01,0
2020-09,93.93,6.03,0.02,0.02,0.01
2020-10,94.17,5.53,0.26,0.02,0.01
2020-11,93.56,6.35,0.02,0.05,0.02
2020-12,93.57,6.17,0,0.2,0.06
