"Date","Android","iOS","Samsung","Other"
2020-01,53.23,46.7,0.06,0.01
2020-02,50.17,49.71,0.09,0.02
2020-03,51.55,48.34,0.08,0.03
2020-04,47.02,52.64,0.33,0.01
2020-05,50.81,49.06,0.12,0.01
2020-06,51.38,48.5,0.1,0.01
2020-07,51.21,48.57,0.22,0
2020-08,50.9,48.69,0.41,0
2020-09,51.46,48.12,0.42,0
2020-10,48.41,50.95,0.62,0.02
2020-11,48.14,51.43,0.43,0.01
2020-12,50.61,48.99,0.4,0
