"Date","iOS","Android","Samsung","Windows","Other"
2020-01,49.65,50.13,0.15,0.03,0.03
2020-02,49.69,50.09,0.15,0.04,0.02
2020-03,48.38,51.41,0.15,0.03,0.03
2020-04,48.23,51.58,0.14,0.03,0.02
2020-05,49.83,49.97,0.17,0.02,0.02
2020-06,47.55,52.23,0.17,0.02,0.02
2020-07,48.48,51.26,0.22,0.02,0.02
2020-08,48.69,51.06,0.23,0.01,0.02
2020-09,49.62,50.13,0.21,0.01,0.02
2020-10,54.49,45.3,0.19,0.01,0.02
2020-11,54.84,44.95,0.18,0.01,0.01
2020-12,54.43,45.33,0.21,0.01,0.01
