"Date","Android","iOS"
2020-01,83.82,16.18
2020-02,68.44,31.56
2020-03,86.67,13.33
2020-04,88.3,11.7
2020-05,75.12,24.88
2020-06,78.46,21.54
2020-07,83.44,16.56
2020-08,93.9,6.1
2020-09,85.54,14.46
2020-10,68.85,31.15
2020-11,93.38,6.62
2020-12,80,20
