"Date","Android","iOS","Windows","Samsung","Other"
2020-01,61.22,38.73,0.04,0.01,0.01
2020-02,64.1,35.79,0.07,0.04,0
2020-03,68.29,31.53,0.16,0.02,0
2020-04,69.8,29.85,0.35,0,0
2020-05,72.05,27.62,0.22,0.1,0
2020-06,70.41,29.38,0.21,0,0
2020-07,65.2,34.78,0,0,0.02
2020-08,67.52,32.44,0.05,0,0
2020-09,65.38,34.62,0,0,0
2020-10,73.23,26.74,0,0.04,0
2020-11,73.18,26.59,0.01,0.22,0
2020-12,71.58,28.24,0.15,0.03,0
