"Date","Android","iOS","Nokia Unknown","Windows"
2020-01,94.12,5.88,0,0
2020-02,100,0,0,0
2020-03,100,0,0,0
2020-04,99.13,0.87,0,0
2020-05,95.12,4.88,0,0
2020-06,100,0,0,0
2020-07,71.88,18.75,9.38,0
2020-08,96.31,3.69,0,0
2020-09,99.58,0.42,0,0
2020-10,84.9,12.5,0,2.6
2020-11,88.3,11.7,0,0
2020-12,98.33,1.67,0,0
